Place	Latitude	Longitude
Gaza	31.50161	34.46672
Israel	31.5	34.75
South Africa	26.5	-81
Palestine	31.92157	35.20329
Dublin	53.33306	-6.24889
Hague	52.51118	-106.41859
Russia	60	100
Ukraine	49	32
Moscow	55.75222	37.61556
US	49.1	1.96667
United Kingdom	54.75844	-2.69531
West	42.77268	-116.9579
Global South	-34.98943	138.51674
Ramallah	31.89964	35.20422
West Bank	19.38197	-81.39281
United States	39.76	-98.5
East Jerusalem	31.78336	35.23388
PA	12.66667	-3.95
Oslo	59.91273	10.74609
Jerusalem	31.76904	35.21633
Middle East	33.13906	35.85869
Bahrain	26.03333	50.55
Turkey	39	35
Greece	39	22
Jordan	31	36
Qatar	25.5	51.25
United Arab Emirates	23.75	54.5
Saudi Arabia	25	45
Egypt	27	30
Tel Aviv	32.08088	34.78057
America	26.0173	-104.41406
South Carolina	34.00043	-81.00009
Lebanon	33.83333	35.83333
Beirut	33.89332	35.50157
Washington	47.50012	-120.50147
Iran	32	53
Asia	29.84064	89.29688
alDabshah	NA	NA
Khirbet Selm	33.22931	35.42407
Bint Jbeil	33.11944	35.43333
Syria	35	38
Ibil El Saqi	33.35667	35.62639
alTawil	NA	NA
alKhader	31.6948 	35.1703
Bekaa Valley	33.83333	36
Litani River	3.3	-54.1
Red Sea	52.26682	-113.802
Alborz	36.01117	50.80956
Bab alMandeb Strait	30.73222	56.7175
Gulf of Aden	12	48
Indian Ocean	-10	70
Africa	7.1881	21.09375
Yemen	15.5	47.5
Damascus	33.5102	36.29128
Djibouti	11.83333	42.5
Tehran	35.69439	51.42151
Sanaa	15.35472	44.20667
Rafah	31.29722	34.24357
Khreis	25.05944	48.06389
Strip	-27.51667	27.05
Deir elBalah	35.33588	40.14084
Maghazi	31.42234	34.38501
Nuseirat	31.44861	34.3925
Europe	48.69096	9.14062
Manchester City	42.99564	-71.45479
Barcelona	41.38879	2.15899
El Arish	31.13159	33.79844
Italy	42.83333	12.83333
Iraq	33	44
Eastern Mediterranean	39.42657	41.23464
New York City	40.71427	-74.00597
DC	38.91706	-77.00025
Cape Town	-33.92584	18.42322
Pretoria	-25.74486	28.18783
South Africansfrom	38.02807	-97.94033
Africa4Palestine	NA	NA
Johannesburg	-26.20227	28.04363
Western Cape province	40.64575	-79.91382
Aqaba	29.52667	35.00778
Cape of Good Hope	37.52777	-108.02785
Southern Africa	-27.11781	22.28027
Middle Eastern	33.13906	35.85869
RedSea	20	38
China	35	105
India	22	79
Cairo	30.06263	31.24967
Doha	25.28545	51.53096
Mediterranean	35.78	19.33
Khan Younis	31.34018	34.30627
Baghdad	33.34058	44.40088
Islamic Republic	32	53
Uganda	1.25	32.5
Kuwait	29.5	47.75
Bolivia	-17	-65
Bangladesh	24	90
Comoros	-12.23333	44.44553
Netherlands	52.25	5.75
Myanmar	21	96
Germany	51.5	10.5
Afghanistan	33	66
Hong Kong	22.27832	114.17469
Houthis	NA	NA
Bab alMandeb strait	30.73222	56.7175
Riyadh	24.68773	46.72185
Norway	62	10
Melbourne Australia	-37.67333	144.84333
Australia	-25	135
Melbourne	-37.814	144.96332
Sandridge Beach	-37.83931	144.91747
ZIM Ganges	45.06873	-83.54131
Sydney	-33.86785	151.20732
