placename	month	count
Jabalya	2023-10	0
Jabalya	2023-11	0
Jabalya	2023-12	0
Jabalya	2024-01	0
Jabalya	2024-02	0
Jabalya	2024-03	0
Jabalya	2024-04	1
Dzhabalija	2023-10	0
Dzhabalija	2023-11	0
Dzhabalija	2023-12	0
Dzhabalija	2024-01	0
Dzhabalija	2024-02	0
Dzhabalija	2024-03	0
Dzhabalija	2024-04	0
Jabalia	2023-10	33
Jabalia	2023-11	102
Jabalia	2023-12	44
Jabalia	2024-01	12
Jabalia	2024-02	7
Jabalia	2024-03	8
Jabalia	2024-04	2
Jabaliya	2023-10	4
Jabaliya	2023-11	1
Jabaliya	2023-12	2
Jabaliya	2024-01	0
Jabaliya	2024-02	0
Jabaliya	2024-03	0
Jabaliya	2024-04	0
Jabāliyā	2023-10	0
Jabāliyā	2023-11	0
Jabāliyā	2023-12	0
Jabāliyā	2024-01	0
Jabāliyā	2024-02	0
Jabāliyā	2024-03	0
Jabāliyā	2024-04	0
Jabālyā	2023-10	0
Jabālyā	2023-11	0
Jabālyā	2023-12	0
Jabālyā	2024-01	0
Jabālyā	2024-02	0
Jabālyā	2024-03	0
Jabālyā	2024-04	0
jbalya	2023-10	0
jbalya	2023-11	0
jbalya	2023-12	0
jbalya	2024-01	0
jbalya	2024-02	0
jbalya	2024-03	0
jbalya	2024-04	0
Джабалия	2023-10	0
Джабалия	2023-11	0
Джабалия	2023-12	0
Джабалия	2024-01	0
Джабалия	2024-02	0
Джабалия	2024-03	0
Джабалия	2024-04	0
جباليا	2023-10	0
جباليا	2023-11	0
جباليا	2023-12	0
جباليا	2024-01	0
جباليا	2024-02	0
جباليا	2024-03	0
جباليا	2024-04	0
Bayt Lahya	2023-10	0
Bayt Lahya	2023-11	0
Bayt Lahya	2023-12	0
Bayt Lahya	2024-01	0
Bayt Lahya	2024-02	0
Bayt Lahya	2024-03	0
Bayt Lahya	2024-04	0
Bayt Lahiya	2023-10	0
Bayt Lahiya	2023-11	0
Bayt Lahiya	2023-12	0
Bayt Lahiya	2024-01	0
Bayt Lahiya	2024-02	0
Bayt Lahiya	2024-03	0
Bayt Lahiya	2024-04	0
Bayt Lahiyah	2023-10	0
Bayt Lahiyah	2023-11	0
Bayt Lahiyah	2023-12	0
Bayt Lahiyah	2024-01	0
Bayt Lahiyah	2024-02	0
Bayt Lahiyah	2024-03	0
Bayt Lahiyah	2024-04	0
Bayt Lāhiya	2023-10	0
Bayt Lāhiya	2023-11	0
Bayt Lāhiya	2023-12	0
Bayt Lāhiya	2024-01	0
Bayt Lāhiya	2024-02	0
Bayt Lāhiya	2024-03	0
Bayt Lāhiya	2024-04	0
Bayt Lāhiyah	2023-10	0
Bayt Lāhiyah	2023-11	0
Bayt Lāhiyah	2023-12	0
Bayt Lāhiyah	2024-01	0
Bayt Lāhiyah	2024-02	0
Bayt Lāhiyah	2024-03	0
Bayt Lāhiyah	2024-04	0
Bayt Lāhyā	2023-10	0
Bayt Lāhyā	2023-11	0
Bayt Lāhyā	2023-12	0
Bayt Lāhyā	2024-01	0
Bayt Lāhyā	2024-02	0
Bayt Lāhyā	2024-03	0
Bayt Lāhyā	2024-04	0
Beit Lahia	2023-10	8
Beit Lahia	2023-11	4
Beit Lahia	2023-12	2
Beit Lahia	2024-01	0
Beit Lahia	2024-02	0
Beit Lahia	2024-03	0
Beit Lahia	2024-04	0
Beit Lahiya	2023-10	3
Beit Lahiya	2023-11	10
Beit Lahiya	2023-12	6
Beit Lahiya	2024-01	2
Beit Lahiya	2024-02	3
Beit Lahiya	2024-03	1
Beit Lahiya	2024-04	2
Beit Lahya	2023-10	0
Beit Lahya	2023-11	0
Beit Lahya	2023-12	0
Beit Lahya	2024-01	0
Beit Lahya	2024-02	0
Beit Lahya	2024-03	0
Beit Lahya	2024-04	0
Beit Lāhiya	2023-10	0
Beit Lāhiya	2023-11	0
Beit Lāhiya	2023-12	0
Beit Lāhiya	2024-01	0
Beit Lāhiya	2024-02	0
Beit Lāhiya	2024-03	0
Beit Lāhiya	2024-04	0
byt lahya	2023-10	0
byt lahya	2023-11	0
byt lahya	2023-12	0
byt lahya	2024-01	0
byt lahya	2024-02	0
byt lahya	2024-03	0
byt lahya	2024-04	0
بيت لاهيا	2023-10	0
بيت لاهيا	2023-11	0
بيت لاهيا	2023-12	0
بيت لاهيا	2024-01	0
بيت لاهيا	2024-02	0
بيت لاهيا	2024-03	0
بيت لاهيا	2024-04	0
Mukhayyam Jabaliya	2023-10	0
Mukhayyam Jabaliya	2023-11	0
Mukhayyam Jabaliya	2023-12	0
Mukhayyam Jabaliya	2024-01	0
Mukhayyam Jabaliya	2024-02	0
Mukhayyam Jabaliya	2024-03	0
Mukhayyam Jabaliya	2024-04	0
Mukhayyam Jabalya	2023-10	0
Mukhayyam Jabalya	2023-11	0
Mukhayyam Jabalya	2023-12	0
Mukhayyam Jabalya	2024-01	0
Mukhayyam Jabalya	2024-02	0
Mukhayyam Jabalya	2024-03	0
Mukhayyam Jabalya	2024-04	0
Mukhayyam Jabāliyā	2023-10	0
Mukhayyam Jabāliyā	2023-11	0
Mukhayyam Jabāliyā	2023-12	0
Mukhayyam Jabāliyā	2024-01	0
Mukhayyam Jabāliyā	2024-02	0
Mukhayyam Jabāliyā	2024-03	0
Mukhayyam Jabāliyā	2024-04	0
Mukhayyam Jabālyā	2023-10	0
Mukhayyam Jabālyā	2023-11	0
Mukhayyam Jabālyā	2023-12	0
Mukhayyam Jabālyā	2024-01	0
Mukhayyam Jabālyā	2024-02	0
Mukhayyam Jabālyā	2024-03	0
Mukhayyam Jabālyā	2024-04	0
mkhym jbalya	2023-10	0
mkhym jbalya	2023-11	0
mkhym jbalya	2023-12	0
mkhym jbalya	2024-01	0
mkhym jbalya	2024-02	0
mkhym jbalya	2024-03	0
mkhym jbalya	2024-04	0
مخيم جباليا	2023-10	0
مخيم جباليا	2023-11	0
مخيم جباليا	2023-12	0
مخيم جباليا	2024-01	0
مخيم جباليا	2024-02	0
مخيم جباليا	2024-03	0
مخيم جباليا	2024-04	0
Bayt Hanun	2023-10	0
Bayt Hanun	2023-11	0
Bayt Hanun	2023-12	0
Bayt Hanun	2024-01	0
Bayt Hanun	2024-02	0
Bayt Hanun	2024-03	0
Bayt Hanun	2024-04	0
Bait Hanun	2023-10	0
Bait Hanun	2023-11	0
Bait Hanun	2023-12	0
Bait Hanun	2024-01	0
Bait Hanun	2024-02	0
Bait Hanun	2024-03	0
Bait Hanun	2024-04	0
Bajt Hanun	2023-10	0
Bajt Hanun	2023-11	0
Bajt Hanun	2023-12	0
Bajt Hanun	2024-01	0
Bajt Hanun	2024-02	0
Bajt Hanun	2024-03	0
Bajt Hanun	2024-04	0
Bajt Hánún	2023-10	0
Bajt Hánún	2023-11	0
Bajt Hánún	2023-12	0
Bajt Hánún	2024-01	0
Bajt Hánún	2024-02	0
Bajt Hánún	2024-03	0
Bajt Hánún	2024-04	0
Bayt Ḩanūn	2023-10	0
Bayt Ḩanūn	2023-11	0
Bayt Ḩanūn	2023-12	0
Bayt Ḩanūn	2024-01	0
Bayt Ḩanūn	2024-02	0
Bayt Ḩanūn	2024-03	0
Bayt Ḩanūn	2024-04	0
Bayt Ḩānūn	2023-10	0
Bayt Ḩānūn	2023-11	0
Bayt Ḩānūn	2023-12	0
Bayt Ḩānūn	2024-01	0
Bayt Ḩānūn	2024-02	0
Bayt Ḩānūn	2024-03	0
Bayt Ḩānūn	2024-04	0
Beit Chanoun	2023-10	0
Beit Chanoun	2023-11	0
Beit Chanoun	2023-12	0
Beit Chanoun	2024-01	0
Beit Chanoun	2024-02	0
Beit Chanoun	2024-03	0
Beit Chanoun	2024-04	0
Beit Hanoon	2023-10	15
Beit Hanoon	2023-11	13
Beit Hanoon	2023-12	4
Beit Hanoon	2024-01	1
Beit Hanoon	2024-02	3
Beit Hanoon	2024-03	7
Beit Hanoon	2024-04	10
Beit Hanoum	2023-10	0
Beit Hanoum	2023-11	0
Beit Hanoum	2023-12	0
Beit Hanoum	2024-01	0
Beit Hanoum	2024-02	0
Beit Hanoum	2024-03	0
Beit Hanoum	2024-04	0
Beit Hanoun	2023-10	4
Beit Hanoun	2023-11	4
Beit Hanoun	2023-12	0
Beit Hanoun	2024-01	0
Beit Hanoun	2024-02	0
Beit Hanoun	2024-03	0
Beit Hanoun	2024-04	0
Beit Hanun	2023-10	0
Beit Hanun	2023-11	0
Beit Hanun	2023-12	0
Beit Hanun	2024-01	0
Beit Hanun	2024-02	0
Beit Hanun	2024-03	0
Beit Hanun	2024-04	0
Beit Hanuna	2023-10	0
Beit Hanuna	2023-11	0
Beit Hanuna	2023-12	0
Beit Hanuna	2024-01	0
Beit Hanuna	2024-02	0
Beit Hanuna	2024-03	0
Beit Hanuna	2024-04	0
Beit Hānūna	2023-10	0
Beit Hānūna	2023-11	0
Beit Hānūna	2023-12	0
Beit Hānūna	2024-01	0
Beit Hānūna	2024-02	0
Beit Hānūna	2024-03	0
Beit Hānūna	2024-04	0
Bejt-Khanun	2023-10	0
Bejt-Khanun	2023-11	0
Bejt-Khanun	2023-12	0
Bejt-Khanun	2024-01	0
Bejt-Khanun	2024-02	0
Bejt-Khanun	2024-03	0
Bejt-Khanun	2024-04	0
Beyt Hanun	2023-10	0
Beyt Hanun	2023-11	0
Beyt Hanun	2023-12	0
Beyt Hanun	2024-01	0
Beyt Hanun	2024-02	0
Beyt Hanun	2024-03	0
Beyt Hanun	2024-04	0
bai te ha nen	2023-10	0
bai te ha nen	2023-11	0
bai te ha nen	2023-12	0
bai te ha nen	2024-01	0
bai te ha nen	2024-02	0
bai te ha nen	2024-03	0
bai te ha nen	2024-04	0
byt hanwn	2023-10	0
byt hanwn	2023-11	0
byt hanwn	2023-12	0
